step,vx_100_100,vy_100_100
369,5.0044542551e-01,-4.9956619740e-01
370,5.0039905310e-01,-4.9955818057e-01
371,5.0041896105e-01,-4.9962252378e-01
372,5.0047308207e-01,-4.9971073866e-01
373,5.0048017502e-01,-4.9977657199e-01
374,5.0040632486e-01,-4.9983656406e-01
375,5.0038498640e-01,-4.9996972084e-01
376,5.0033980608e-01,-5.0001519918e-01
377,5.0035142899e-01,-4.9995175004e-01
378,5.0029897690e-01,-4.9984413385e-01
379,5.0025182962e-01,-4.9971887469e-01
380,5.0023245811e-01,-4.9967345595e-01
381,5.0022566319e-01,-4.9959388375e-01
382,5.0030052662e-01,-4.9957332015e-01
383,5.0033301115e-01,-4.9963274598e-01
384,5.0039756298e-01,-4.9967861176e-01
385,5.0049233437e-01,-4.9970340729e-01
386,5.0048130751e-01,-4.9979382753e-01
387,5.0042521954e-01,-4.9987375736e-01
388,5.0039613247e-01,-4.9990487099e-01
389,5.0028556585e-01,-4.9986481667e-01
390,5.0016891956e-01,-4.9977591634e-01
391,5.0005692244e-01,-4.9965801835e-01
392,5.0004559755e-01,-4.9962887168e-01
393,5.0011879206e-01,-4.9966928363e-01
394,5.0026559830e-01,-4.9968117476e-01
395,5.0042504072e-01,-4.9970933795e-01
396,5.0044256449e-01,-4.9969995022e-01
397,5.0038295984e-01,-4.9970591068e-01
398,5.0034618378e-01,-4.9966552854e-01
399,5.0034344196e-01,-4.9965420365e-01
400,5.0033086538e-01,-4.9974638224e-01
401,5.0035250187e-01,-4.9981051683e-01
402,5.0037646294e-01,-4.9975606799e-01
403,5.0027292967e-01,-4.9964720011e-01
404,5.0019532442e-01,-4.9961602688e-01
405,5.0019401312e-01,-4.9966704845e-01
406,5.0029134750e-01,-4.9976417422e-01
407,5.0038516521e-01,-4.9990287423e-01
408,5.0042253733e-01,-5.0002646446e-01
409,5.0037175417e-01,-5.0002056360e-01
410,5.0027775764e-01,-4.9999976158e-01
411,5.0023591518e-01,-4.9989324808e-01
412,5.0024813414e-01,-4.9976983666e-01
413,5.0029474497e-01,-4.9962729216e-01
414,5.0029349327e-01,-4.9953615665e-01
415,5.0031554699e-01,-4.9956831336e-01
416,5.0034701824e-01,-4.9966710806e-01
