step,vx_50_50,vy_50_50
357,4.8687806726e-01,-4.8607793450e-01
358,4.8685964942e-01,-4.8606830835e-01
359,4.8667359352e-01,-4.8602533340e-01
360,4.8644515872e-01,-4.8595184088e-01
361,4.8628953099e-01,-4.8591029644e-01
362,4.8620834947e-01,-4.8596543074e-01
363,4.8618149757e-01,-4.8601385951e-01
364,4.8610725999e-01,-4.8597773910e-01
365,4.8605084419e-01,-4.8596844077e-01
366,4.8606511950e-01,-4.8601043224e-01
367,4.8612561822e-01,-4.8604542017e-01
368,4.8607864976e-01,-4.8589751124e-01
369,4.8601919413e-01,-4.8559445143e-01
370,4.8586615920e-01,-4.8521742225e-01
371,4.8580247164e-01,-4.8496505618e-01
372,4.8576715589e-01,-4.8495489359e-01
373,4.8589965701e-01,-4.8513382673e-01
374,4.8612615466e-01,-4.8533636332e-01
375,4.8629501462e-01,-4.8544207215e-01
376,4.8632392287e-01,-4.8536112905e-01
377,4.8613509536e-01,-4.8523598909e-01
378,4.8591226339e-01,-4.8512381315e-01
379,4.8582524061e-01,-4.8491364717e-01
380,4.8578703403e-01,-4.8469370604e-01
381,4.8570108414e-01,-4.8457610607e-01
382,4.8570796847e-01,-4.8446366191e-01
383,4.8579129577e-01,-4.8450487852e-01
384,4.8590901494e-01,-4.8464977741e-01
385,4.8604846001e-01,-4.8480892181e-01
386,4.8605284095e-01,-4.8478516936e-01
387,4.8585975170e-01,-4.8449844122e-01
388,4.8558664322e-01,-4.8406362534e-01
389,4.8530092835e-01,-4.8389753699e-01
390,4.8519581556e-01,-4.8402771354e-01
391,4.8525074124e-01,-4.8441803455e-01
392,4.8539790511e-01,-4.8471444845e-01
393,4.8539966345e-01,-4.8470449448e-01
394,4.8527532816e-01,-4.8461145163e-01
395,4.8509144783e-01,-4.8432093859e-01
396,4.8506629467e-01,-4.8412108421e-01
397,4.8515325785e-01,-4.8411092162e-01
398,4.8539742827e-01,-4.8429983854e-01
399,4.8554795980e-01,-4.8441144824e-01
400,4.8545852304e-01,-4.8420771956e-01
401,4.8517325521e-01,-4.8393028975e-01
402,4.8483499885e-01,-4.8386597633e-01
403,4.8471572995e-01,-4.8403936625e-01
