step,vx_5_10,singularity_count,dirichlet
67,2.5360040665e+00,4.2000000000e+01,7.1200000000e+03
68,2.5337846279e+00,4.0000000000e+01,7.1440000000e+03
69,2.5412981510e+00,2.9000000000e+01,7.1440000000e+03
70,2.5421864986e+00,3.6000000000e+01,7.1630000000e+03
71,2.5380296707e+00,4.2000000000e+01,7.1440000000e+03
72,2.5356173515e+00,5.0000000000e+01,7.1760000000e+03
73,2.5406527519e+00,2.9000000000e+01,7.0910000000e+03
74,2.5420522690e+00,4.1000000000e+01,7.1580000000e+03
75,2.5391037464e+00,4.1000000000e+01,7.0490000000e+03
76,2.5361244678e+00,4.1000000000e+01,7.1670000000e+03
77,2.5429077148e+00,4.4000000000e+01,7.2410000000e+03
78,2.5394580364e+00,4.0000000000e+01,7.1090000000e+03
79,2.5369637012e+00,4.5000000000e+01,7.0150000000e+03
80,2.5386879444e+00,5.0000000000e+01,7.1580000000e+03
81,2.5403447151e+00,4.6000000000e+01,7.1750000000e+03
82,2.5397818089e+00,4.9000000000e+01,7.3120000000e+03
83,2.5401580334e+00,4.6000000000e+01,7.0520000000e+03
84,2.5426163673e+00,4.6000000000e+01,7.1680000000e+03
85,2.5428774357e+00,4.4000000000e+01,7.2350000000e+03
86,2.5370981693e+00,5.2000000000e+01,7.1230000000e+03
87,2.5387463570e+00,4.1000000000e+01,7.2240000000e+03
88,2.5390214920e+00,4.4000000000e+01,7.1920000000e+03
89,2.5375068188e+00,3.8000000000e+01,7.1400000000e+03
90,2.5366530418e+00,4.1000000000e+01,7.2900000000e+03
91,2.5317182541e+00,3.3000000000e+01,7.0730000000e+03
92,2.5324850082e+00,4.0000000000e+01,7.1710000000e+03
93,2.5366396904e+00,3.2000000000e+01,7.2250000000e+03
94,2.5364630222e+00,4.3000000000e+01,7.1810000000e+03
95,2.5389201641e+00,3.9000000000e+01,7.1530000000e+03
96,2.5414221287e+00,3.2000000000e+01,7.0830000000e+03
97,2.5380644798e+00,3.6000000000e+01,7.1660000000e+03
98,2.5373680592e+00,3.6000000000e+01,7.0830000000e+03
