step,vx_300_100,vy_300_100,pressure_300_100,Cd,Cl,energy
82,4.9594669342e+00,-1.8251708243e-03,2.1533689880e+02,9.4018036127e-01,-1.7003318295e-02,1.0258886875e+06
83,4.9567956924e+00,-1.6967229312e-03,2.3370127869e+02,9.3765497208e-01,-1.9353318959e-02,1.0263979375e+06
84,4.9536142349e+00,-1.9455919974e-03,2.5145750427e+02,9.3873620033e-01,-2.7590949088e-02,1.0269346875e+06
85,4.9500503540e+00,-2.4592312984e-03,2.6690701294e+02,9.3721932173e-01,-2.1807355806e-02,1.0274880000e+06
86,4.9452953339e+00,-2.2358754650e-03,2.8051776123e+02,9.3750983477e-01,-2.5320831686e-02,1.0280478750e+06
87,4.9394326210e+00,-2.7138285805e-03,2.9042333984e+02,9.4078445435e-01,-2.4546872824e-02,1.0286225625e+06
88,4.9322214127e+00,-3.3628353849e-03,2.9842858887e+02,9.3632608652e-01,-2.7121612802e-02,1.0292153750e+06
89,4.9228687286e+00,-3.5033919849e-03,3.0328359985e+02,9.3629026413e-01,-3.0332745984e-02,1.0298061250e+06
90,4.9126615524e+00,-4.4152489863e-03,3.0641009521e+02,9.3536782265e-01,-2.7254816145e-02,1.0303957500e+06
91,4.9000134468e+00,-5.1553272642e-03,3.0648013306e+02,9.3733274937e-01,-1.8441079184e-02,1.0309841875e+06
92,4.8851728439e+00,-6.3204895705e-03,3.0364761353e+02,9.2791163921e-01,-2.4895571172e-02,1.0315730000e+06
93,4.8681154251e+00,-6.9603719749e-03,2.9864901733e+02,9.2726266384e-01,-1.4522460289e-02,1.0321480625e+06
94,4.8496623039e+00,-7.9390006140e-03,2.9143814087e+02,9.2864823341e-01,-1.4957485721e-02,1.0327135625e+06
95,4.8295931816e+00,-6.9473590702e-03,2.7947067261e+02,9.3067228794e-01,-7.9305330291e-03,1.0332537500e+06
96,4.8086910248e+00,-7.7240215614e-03,2.6563964844e+02,9.2203569412e-01,-4.0697911754e-03,1.0337820625e+06
97,4.7852458954e+00,-8.7333181873e-03,2.4980088806e+02,9.2426908016e-01,-5.7195308618e-03,1.0342793125e+06
98,4.7618808746e+00,-8.7189823389e-03,2.3211193848e+02,9.2863988876e-01,4.9748043530e-03,1.0347466250e+06
99,4.7384085655e+00,-7.2577362880e-03,2.1028816223e+02,9.2545932531e-01,3.1940103509e-04,1.0351937500e+06
100,4.7176547050e+00,-6.7741326056e-03,1.8785382080e+02,9.1950005293e-01,3.9151688106e-03,1.0356140000e+06
101,4.6948614120e+00,-6.8100285716e-03,1.6279766846e+02,9.2113029957e-01,8.6539704353e-03,1.0359978125e+06
102,4.6722216606e+00,-7.4503626674e-03,1.3627894592e+02,9.2062747478e-01,1.1662239209e-02,1.0363460000e+06
103,4.6509356499e+00,-5.5895159021e-03,1.0733946991e+02,9.2367702723e-01,1.2727538124e-02,1.0366541250e+06
104,4.6309413910e+00,-4.9913013354e-03,7.7146362305e+01,9.2192363739e-01,2.0885154605e-02,1.0369304375e+06
105,4.6135606766e+00,-4.4380123727e-03,4.7530803680e+01,9.2142063379e-01,2.3634893820e-02,1.0371676875e+06
106,4.5971398354e+00,-4.5032259077e-03,1.8872306824e+01,9.2393809557e-01,2.5157354772e-02,1.0373626250e+06
107,4.5807256699e+00,-5.7425289415e-03,-9.5535516739e+00,9.3002742529e-01,2.6430988684e-02,1.0375136875e+06
108,4.5651588440e+00,-7.2104251012e-03,-3.7976669312e+01,9.1877669096e-01,3.3466793597e-02,1.0376436250e+06
109,4.5504674911e+00,-6.4881411381e-03,-6.4751998901e+01,9.1756021976e-01,3.7650711834e-02,1.0377302500e+06
110,4.5385584831e+00,-6.7627727985e-03,-8.9032485962e+01,9.1994178295e-01,3.6732550710e-02,1.0377786250e+06
111,4.5266680717e+00,-5.3583169356e-03,-1.1192523193e+02,9.1830515862e-01,3.1390491873e-02,1.0378023750e+06
112,4.5165715218e+00,-3.1762546860e-03,-1.3150456238e+02,9.2077678442e-01,4.0113408118e-02,1.0377996875e+06
113,4.5065894127e+00,-1.8896711990e-03,-1.5016629028e+02,9.1341620684e-01,3.6215819418e-02,1.0377817500e+06
114,4.4988212585e+00,3.3384577837e-03,-1.6422952271e+02,9.1186690331e-01,4.0864776820e-02,1.0377356250e+06
115,4.4913978577e+00,5.7579400018e-03,-1.7754899597e+02,9.1564887762e-01,4.5688211918e-02,1.0376585000e+06
116,4.4835600853e+00,9.6338624135e-03,-1.8748048401e+02,9.1978603601e-01,3.9664253592e-02,1.0375678750e+06
117,4.4772300720e+00,1.1818017811e-02,-1.9575175476e+02,9.0788394213e-01,4.4063605368e-02,1.0374791250e+06
118,4.4718012810e+00,1.2588341720e-02,-2.0119764709e+02,9.0793782473e-01,4.2476169765e-02,1.0373705625e+06
119,4.4656209946e+00,1.3762831688e-02,-2.0486282349e+02,8.9801245928e-01,4.0866468102e-02,1.0372721875e+06
120,4.4594001770e+00,1.4382298104e-02,-2.0547442627e+02,9.1156321764e-01,3.8296740502e-02,1.0371441875e+06
121,4.4527130127e+00,1.5256850980e-02,-2.0479251099e+02,9.0558183193e-01,3.7525191903e-02,1.0370169375e+06
122,4.4464802742e+00,1.4095581137e-02,-2.0098381042e+02,9.0790861845e-01,3.5974998027e-02,1.0368929375e+06
123,4.4403409958e+00,1.3704859652e-02,-1.9682904053e+02,9.0858411789e-01,2.9081638902e-02,1.0367829375e+06
124,4.4342460632e+00,1.2902435847e-02,-1.9025050354e+02,9.0924960375e-01,2.3182224482e-02,1.0366683750e+06
125,4.4276561737e+00,1.4129946940e-02,-1.8231330872e+02,8.9980578423e-01,1.8264191225e-02,1.0365701875e+06
126,4.4209947586e+00,1.5174145810e-02,-1.7216104126e+02,9.0637469292e-01,8.5638668388e-03,1.0364849375e+06
127,4.4139595032e+00,1.5625936911e-02,-1.6056080627e+02,9.0339916945e-01,4.6530594118e-03,1.0364133750e+06
128,4.4072461128e+00,1.5537336469e-02,-1.4938462830e+02,9.0996056795e-01,-5.4675778374e-03,1.0363575000e+06
129,4.3995428085e+00,1.4446363784e-02,-1.3830641174e+02,9.0755373240e-01,-4.2404294945e-03,1.0363231875e+06
130,4.3931779861e+00,1.4433059841e-02,-1.2144288635e+02,9.1340410709e-01,-1.2399738654e-02,1.0363028125e+06
131,4.3879280090e+00,1.4392052777e-02,-1.0572827911e+02,9.0692675114e-01,-1.6938995570e-02,1.0363182500e+06
132,4.3819823265e+00,1.6749424860e-02,-8.8621421814e+01,9.0736466646e-01,-2.2583527490e-02,1.0363483750e+06
133,4.3745937347e+00,2.0407013595e-02,-7.2160537720e+01,9.1105532646e-01,-2.6957290247e-02,1.0363973125e+06
134,4.3676190376e+00,2.5043759495e-02,-5.3289451599e+01,9.1326689720e-01,-3.1083656475e-02,1.0364689375e+06
135,4.3610978127e+00,2.7831539512e-02,-3.2388206482e+01,9.1448324919e-01,-3.8794919848e-02,1.0365706250e+06
136,4.3537006378e+00,2.8572626412e-02,-1.1525574684e+01,9.0573322773e-01,-3.4031704068e-02,1.0367073750e+06
137,4.3473110199e+00,2.9026698321e-02,9.3744907379e+00,9.0269762278e-01,-4.0031444281e-02,1.0368718125e+06
138,4.3463249207e+00,2.8558218852e-02,3.2010158539e+01,9.0955436230e-01,-4.2856115848e-02,1.0370478750e+06
139,4.3415389061e+00,2.7173865587e-02,5.3793514252e+01,9.0810161829e-01,-4.6792771667e-02,1.0372531250e+06
140,4.3360800743e+00,2.4042243138e-02,7.3375633240e+01,9.0299838781e-01,-4.6988211572e-02,1.0374927500e+06
