step,vx_150_50,vy_150_50,pressure_150_50,Cd,Cl,energy
23,5.0129451752e+00,-2.0633898384e-04,5.0185446167e+02,1.0283331871e+00,4.9782549031e-03,2.5617317188e+05
24,5.0161461830e+00,1.5758201480e-03,4.6254418945e+02,1.0224169493e+00,-1.1961359531e-02,2.5658709375e+05
25,5.0202393532e+00,1.5714948531e-03,4.0086285400e+02,1.0206843615e+00,-1.1296353303e-02,2.5696660938e+05
26,5.0230607986e+00,3.2760971226e-04,3.2770861816e+02,1.0153195858e+00,-1.0121321306e-02,2.5731164062e+05
27,5.0239396095e+00,1.2438233243e-03,2.4193757629e+02,1.0143741369e+00,-1.9361164421e-02,2.5760067188e+05
28,5.0247135162e+00,4.1765026981e-04,1.5237936401e+02,1.0075076818e+00,-2.7172686532e-02,2.5782020312e+05
29,5.0239815712e+00,1.7012645258e-03,6.3182189941e+01,1.0143252611e+00,-2.1513214335e-02,2.5797378125e+05
30,5.0230431557e+00,9.7488926258e-04,-1.9815841675e+01,1.0013282299e+00,-2.7681345120e-02,2.5808307812e+05
31,5.0208482742e+00,3.6072291550e-04,-1.0022872925e+02,1.0035487413e+00,-3.2761488110e-02,2.5813439062e+05
32,5.0179820061e+00,7.8431877773e-04,-1.6568588257e+02,9.9983632565e-01,-3.1665265560e-02,2.5813665625e+05
33,5.0133323669e+00,3.3075886313e-04,-2.2176034546e+02,9.8834073544e-01,-4.0768746287e-02,2.5810620312e+05
34,5.0086245537e+00,1.6191659961e-03,-2.6738714600e+02,9.9355697632e-01,-3.1349346042e-02,2.5803060938e+05
35,5.0046601295e+00,2.5122394436e-04,-2.9548706055e+02,9.7886192799e-01,-3.4542933106e-02,2.5794909375e+05
36,4.9995636940e+00,1.1152616935e-03,-3.1486950684e+02,9.8685997725e-01,-3.5037107766e-02,2.5785025000e+05
37,4.9929089546e+00,1.5897795674e-04,-3.3052615356e+02,9.6696805954e-01,-2.2549673915e-02,2.5773115625e+05
38,4.9853830338e+00,-2.5578358327e-04,-3.3727984619e+02,9.7068309784e-01,-2.2886130959e-02,2.5759910938e+05
39,4.9773473740e+00,-3.5474330070e-04,-3.3912567139e+02,9.6411722898e-01,-7.0774084888e-03,2.5748165625e+05
40,4.9695572853e+00,3.0435645021e-04,-3.2870864868e+02,9.5591074228e-01,-8.3106765524e-03,2.5735290625e+05
41,4.9607043266e+00,-1.2382025598e-03,-3.1353845215e+02,9.5728904009e-01,1.2277472764e-02,2.5722650000e+05
42,4.9437093735e+00,-1.0454297299e-03,-2.9168377686e+02,9.5529484749e-01,1.8427407369e-02,2.5712412500e+05
43,4.9266099930e+00,-2.3251145612e-03,-2.6245709229e+02,9.4738858938e-01,2.9437595978e-02,2.5703595312e+05
44,4.9061207771e+00,-4.4812941924e-03,-2.3323942566e+02,9.3964225054e-01,3.3608559519e-02,2.5697812500e+05
45,4.8769078255e+00,-4.7976449132e-03,-1.9558361816e+02,9.4927716255e-01,3.6010902375e-02,2.5692893750e+05
46,4.8374819756e+00,-8.3112325519e-03,-1.5668164062e+02,9.3598985672e-01,5.9057060629e-02,2.5692248438e+05
47,4.7870039940e+00,-1.1829489842e-02,-1.0831254578e+02,9.3674302101e-01,4.9809828401e-02,2.5693295312e+05
48,4.7120094299e+00,-7.0778946392e-03,-4.0772274017e+01,9.3853116035e-01,5.9278707951e-02,2.5697179688e+05
