step,vx_600_200,vy_600_200,pressure_600_200,Cd,Cl,singularity_count
105,3.9884290695e+00,-1.5240715584e-04,-7.4473193359e+02,1.2541781664e+00,-9.8419186543e-05,0.0000000000e+00
106,3.9885418415e+00,-1.9468565006e-04,-5.9622308350e+02,1.2266340256e+00,-2.9922486283e-04,0.0000000000e+00
107,3.9887225628e+00,-1.8585506768e-04,-5.9622308350e+02,1.2266340256e+00,-2.9922486283e-04,0.0000000000e+00
108,3.9878385067e+00,-1.8597667804e-04,-4.4196762085e+02,1.2774733305e+00,-1.3458251487e-04,0.0000000000e+00
109,3.9869346619e+00,-1.9452799461e-04,-4.4196762085e+02,1.2774733305e+00,-1.3458251487e-04,0.0000000000e+00
110,3.9873406887e+00,-1.4473321789e-04,-2.5998568726e+02,1.2242954969e+00,-4.0885925409e-04,0.0000000000e+00
111,3.9877073765e+00,-1.3918882178e-04,-2.5998568726e+02,1.2242954969e+00,-4.0885925409e-04,0.0000000000e+00
112,3.9868712425e+00,-1.7167771875e-04,-1.6081155396e+02,1.3032029867e+00,-1.8218993500e-04,0.0000000000e+00
113,3.9860594273e+00,-1.7770317208e-04,-1.6081155396e+02,1.3032029867e+00,-1.8218993500e-04,0.0000000000e+00
114,3.9865241051e+00,-8.3336977696e-05,2.4753446579e+01,1.2273623943e+00,-4.2572020902e-04,0.0000000000e+00
115,3.9868938923e+00,-7.9561927123e-05,2.4753446579e+01,1.2273623943e+00,-4.2572020902e-04,0.0000000000e+00
116,3.9862868786e+00,-8.8701737695e-05,4.5858360291e+01,1.3215813637e+00,-1.6456603771e-04,0.0000000000e+00
117,3.9856903553e+00,-9.3337657745e-05,4.5858360291e+01,1.3215813637e+00,-1.6456603771e-04,0.0000000000e+00
118,3.9862189293e+00,-2.9026436096e-05,3.5876675415e+02,1.2527811527e+00,-1.5800475376e-04,0.0000000000e+00
119,3.9866793156e+00,-2.2392752726e-05,3.5876675415e+02,1.2527811527e+00,-1.5800475376e-04,0.0000000000e+00
120,3.9864664078e+00,-1.6472924472e-05,3.1294537354e+02,1.3376507759e+00,2.9983521017e-05,0.0000000000e+00
121,3.9862542152e+00,-2.0365856471e-05,3.1294537354e+02,1.3376507759e+00,2.9983521017e-05,0.0000000000e+00
122,3.9867353439e+00,3.1689567550e-05,3.9785711670e+02,1.2576366663e+00,-8.2321166701e-05,0.0000000000e+00
123,3.9871580601e+00,3.7111258280e-05,3.9785711670e+02,1.2576366663e+00,-8.2321166701e-05,0.0000000000e+00
