step,vx_168_75,vy_168_75,pressure_168_75,Cd,Cl,energy
85,1.9941434860e+00,1.4355511667e-05,-5.7032390594e+01,1.3102502823e+00,-2.7465821404e-06,6.8593726562e+04
86,1.9962792397e+00,2.0972706261e-04,-1.0272460938e+02,1.3038346767e+00,2.4414062864e-05,6.8590500000e+04
87,1.9956363440e+00,9.7263204225e-05,-3.0816225052e+01,1.3135359287e+00,-1.1367797924e-05,6.8592828125e+04
88,1.9950857162e+00,6.7318804213e-05,-3.0816225052e+01,1.3135359287e+00,-1.1367797924e-05,6.8595132812e+04
89,1.9945529699e+00,5.7127901528e-05,-3.0816225052e+01,1.3135359287e+00,-1.1367797924e-05,6.8597429688e+04
90,1.9940161705e+00,5.2639057685e-05,-3.0816225052e+01,1.3135359287e+00,-1.1367797924e-05,6.8599687500e+04
91,1.9935718775e+00,-1.4542034478e-05,-8.2282783508e+01,1.2774275541e+00,2.1591185941e-05,6.8606234375e+04
92,1.9942536354e+00,1.0700308485e-04,1.5092240334e+01,1.2938205004e+00,-2.7770996894e-05,6.8617117188e+04
93,1.9937076569e+00,-5.3557148931e-05,1.7178760529e+01,1.3012518883e+00,1.2359619177e-05,6.8629460938e+04
94,1.9932477474e+00,-9.0147521405e-05,1.7178760529e+01,1.3012518883e+00,1.2359619177e-05,6.8641859375e+04
95,1.9948964119e+00,3.3461849671e-04,5.2711208344e+01,1.3017889261e+00,-6.2789913500e-05,6.8658437500e+04
96,1.9938259125e+00,-3.8410020352e-05,3.5515258789e+01,1.2801061869e+00,3.0517578580e-06,6.8676187500e+04
97,1.9955418110e+00,2.8509658296e-04,1.0953679657e+02,1.3138874769e+00,1.4587402984e-04,6.8697312500e+04
98,1.9945415258e+00,-9.0586916485e-05,7.9349769592e+01,1.2690861225e+00,-1.0944366659e-04,6.8719835938e+04
99,1.9961228371e+00,3.2636590186e-04,1.4083694458e+02,1.3112401962e+00,8.7203981820e-05,6.8744546875e+04
100,1.9953048229e+00,-1.9118147611e-04,9.3969482422e+01,1.2695174217e+00,-3.5972596379e-05,6.8771375000e+04
101,1.9946726561e+00,-3.2314713462e-04,9.0957908630e+01,1.2654225826e+00,-3.8185120502e-05,6.8798203125e+04
102,1.9978557825e+00,4.3234962504e-04,2.2237268066e+02,1.3332492113e+00,1.1657714640e-04,6.8825578125e+04
103,1.9955323935e+00,-4.6685474808e-04,5.6574584961e+01,1.2527164221e+00,2.3498534574e-05,6.8855820312e+04
104,1.9993507862e+00,3.3514932147e-04,2.3796028137e+02,1.3191189766e+00,1.3732910702e-06,6.8885125000e+04
105,1.9960467815e+00,-3.3653079299e-04,2.2997116089e+01,1.2526056767e+00,1.2214660819e-04,6.8917328125e+04
106,2.0005559921e+00,7.9427263699e-05,2.8102935791e+02,1.3152322769e+00,-1.1150359933e-04,6.8947468750e+04
107,1.9968564510e+00,9.0121160611e-05,-3.1468164444e+01,1.2472819090e+00,1.6120910004e-04,6.8980203125e+04
108,1.9982924461e+00,-3.6093534436e-04,1.8385655212e+02,1.2992599010e+00,-1.5106201317e-05,6.9011031250e+04
109,2.0000576973e+00,-4.1321726167e-04,1.8385655212e+02,1.2992599010e+00,-1.5106201317e-05,6.9041773438e+04
110,1.9995560646e+00,-3.7234902265e-04,8.1119102478e+01,1.2544538975e+00,-3.4484863136e-05,6.9071718750e+04
111,1.9990495443e+00,-3.7109444384e-04,8.1119102478e+01,1.2544538975e+00,-3.4484863136e-05,6.9101664062e+04
112,1.9985728264e+00,-3.8178570685e-04,8.1119102478e+01,1.2544538975e+00,-3.4484863136e-05,6.9131687500e+04
113,1.9981389046e+00,-3.9605551865e-04,8.1119102478e+01,1.2544538975e+00,-3.4484863136e-05,6.9161796875e+04
114,1.9977548122e+00,-4.1118598892e-04,8.1119102478e+01,1.2544538975e+00,-3.4484863136e-05,6.9191937500e+04
115,2.0012245178e+00,-2.1242999355e-04,2.8164141846e+02,1.3513040543e+00,1.3896942255e-04,6.9218109375e+04
116,2.0016922951e+00,-1.1706433725e-04,7.0331115723e+01,1.2737215757e+00,5.1193237596e-05,6.9240335938e+04
117,2.0035872459e+00,1.7133052461e-04,1.6414749146e+02,1.2918642759e+00,1.5678406271e-05,6.9259156250e+04
118,2.0020432472e+00,-2.2360825096e-04,4.1281528473e+00,1.2419122458e+00,-2.3880005756e-05,6.9275382812e+04
119,2.0042765141e+00,1.8443430599e-04,1.2364067841e+02,1.2815692425e+00,4.8751830036e-05,6.9287750000e+04
120,2.0021140575e+00,-1.7192444648e-04,-5.6900054932e+01,1.2438551188e+00,3.4179687646e-05,6.9298101562e+04
121,2.0041232109e+00,-8.0414189142e-05,1.0418283844e+02,1.2763742208e+00,-7.9116820416e-05,6.9304421875e+04
122,2.0020694733e+00,-1.2315987988e-05,-1.2811752319e+02,1.2463095188e+00,1.4404296235e-04,6.9309093750e+04
123,2.0041778088e+00,-1.0826483776e-04,1.0045775604e+02,1.2701745033e+00,-7.5759890024e-05,6.9309632812e+04
124,2.0033087730e+00,4.9755682994e-05,-1.1555047607e+02,1.2514059544e+00,6.6223146860e-05,6.9305609375e+04
125,2.0023481846e+00,7.1232265327e-05,-1.1555047607e+02,1.2514059544e+00,6.6223146860e-05,6.9301734375e+04
126,2.0014066696e+00,7.1037145972e-05,-1.1555047607e+02,1.2514059544e+00,6.6223146860e-05,6.9297992188e+04
127,2.0005040169e+00,6.8890403782e-05,-1.1555047607e+02,1.2514059544e+00,6.6223146860e-05,6.9294359375e+04
128,1.9996433258e+00,6.7827379098e-05,-1.1555047607e+02,1.2514059544e+00,6.6223146860e-05,6.9290898438e+04
129,2.0006148815e+00,-4.7022322542e-04,2.5411659241e+01,1.2619926929e+00,3.9672850107e-06,6.9284085938e+04
130,2.0004582405e+00,-1.6723555746e-04,-1.2081610107e+02,1.2578948736e+00,7.5531006587e-06,6.9275835938e+04
131,2.0013439655e+00,4.4672252261e-04,-6.7903518677e+01,1.2353764772e+00,-2.4795532227e-05,6.9265828125e+04
132,1.9998066425e+00,-2.7797970688e-04,-1.4206950378e+02,1.2534109354e+00,2.5024413844e-05,6.9254523438e+04
133,2.0002591610e+00,4.1870522546e-04,-8.0790100098e+01,1.2351628542e+00,-4.1885374230e-05,6.9242203125e+04
