step,vx_15_15,vy_15_15
71,4.0913313627e-01,-4.1386041045e-01
72,4.0911874175e-01,-4.1391086578e-01
73,4.0906903148e-01,-4.1397976875e-01
74,4.0909346938e-01,-4.1411644220e-01
75,4.0901952982e-01,-4.1417232156e-01
76,4.0902689099e-01,-4.1424787045e-01
77,4.0896141529e-01,-4.1430443525e-01
78,4.0904116631e-01,-4.1438779235e-01
79,4.0905770659e-01,-4.1439676285e-01
80,4.0911445022e-01,-4.1450619698e-01
81,4.0909376740e-01,-4.1446661949e-01
82,4.0906026959e-01,-4.1455158591e-01
83,4.0896806121e-01,-4.1469123960e-01
84,4.0894138813e-01,-4.1469958425e-01
85,4.0893077850e-01,-4.1491413116e-01
86,4.0891909599e-01,-4.1480323672e-01
87,4.0887999535e-01,-4.1497346759e-01
88,4.0901342034e-01,-4.1491991282e-01
89,4.0895175934e-01,-4.1503715515e-01
90,4.0897330642e-01,-4.1503319144e-01
91,4.0884235501e-01,-4.1526362300e-01
92,4.0893515944e-01,-4.1532397270e-01
93,4.0888211131e-01,-4.1538411379e-01
94,4.0887111425e-01,-4.1547566652e-01
95,4.0902209282e-01,-4.1542091966e-01
96,4.0896323323e-01,-4.1556948423e-01
97,4.0896180272e-01,-4.1565573215e-01
98,4.0894314647e-01,-4.1576054692e-01
99,4.0899056196e-01,-4.1580745578e-01
100,4.0873423219e-01,-4.1608512402e-01
101,4.0888726711e-01,-4.1605269909e-01
102,4.0882691741e-01,-4.1618239880e-01
103,4.0880879760e-01,-4.1629067063e-01
104,4.0889149904e-01,-4.1631901264e-01
105,4.0875768661e-01,-4.1664150357e-01
106,4.0888103843e-01,-4.1669252515e-01
107,4.0875357389e-01,-4.1688588262e-01
108,4.0882739425e-01,-4.1688233614e-01
109,4.0862858295e-01,-4.1712379456e-01
110,4.0885707736e-01,-4.1717174649e-01
111,4.0870150924e-01,-4.1737186909e-01
112,4.0877047181e-01,-4.1737169027e-01
113,4.0862628818e-01,-4.1759112477e-01
114,4.0869891644e-01,-4.1767486930e-01
115,4.0858450532e-01,-4.1787958145e-01
116,4.0871885419e-01,-4.1799414158e-01
117,4.0862172842e-01,-4.1816371679e-01
118,4.0864852071e-01,-4.1820865870e-01
119,4.0856829286e-01,-4.1845735908e-01
120,4.0886902809e-01,-4.1836416721e-01
121,4.0850698948e-01,-4.1873297095e-01
122,4.0864557028e-01,-4.1885653138e-01
123,4.0856897831e-01,-4.1900795698e-01
124,4.0881025791e-01,-4.1896915436e-01
125,4.0862208605e-01,-4.1917422414e-01
126,4.0865004063e-01,-4.1932344437e-01
127,4.0862041712e-01,-4.1949662566e-01
128,4.0860274434e-01,-4.1956856847e-01
129,4.0864366293e-01,-4.1960769892e-01
130,4.0866231918e-01,-4.1982811689e-01
131,4.0866020322e-01,-4.2005202174e-01
132,4.0873381495e-01,-4.2003798485e-01
133,4.0868338943e-01,-4.2022663355e-01
134,4.0873605013e-01,-4.2028596997e-01
135,4.0859586000e-01,-4.2054212093e-01
136,4.0881904960e-01,-4.2055690289e-01
137,4.0880745649e-01,-4.2063367367e-01
