step,volume,free_surface_area,vx_10_20,pressure_25_30
143,1.5678108931e+00,2.7199985981e+00,4.0368333459e-02,8.1950839844e+03
144,1.5678112507e+00,2.7149987221e+00,4.3108396232e-02,8.2411396484e+03
145,1.5680115223e+00,2.7349987030e+00,3.9899270982e-02,8.3365634766e+03
146,1.5680618286e+00,2.7499988079e+00,3.7430349737e-02,8.1996484375e+03
147,1.5679872036e+00,2.7349987030e+00,4.1682854295e-02,8.2807597656e+03
148,1.5679124594e+00,2.7749986649e+00,4.0630228817e-02,8.2950683594e+03
149,1.5677129030e+00,2.7349987030e+00,3.9660483599e-02,8.2917636719e+03
150,1.5677630901e+00,2.7249987125e+00,4.2198982090e-02,8.3612548828e+03
151,1.5678635836e+00,2.7299985886e+00,4.1673384607e-02,8.3618857422e+03
152,1.5678887367e+00,2.7449989319e+00,4.1470028460e-02,8.3317324219e+03
153,1.5679391623e+00,2.7449986935e+00,4.0552996099e-02,8.4114980469e+03
154,1.5681143999e+00,2.7599987984e+00,4.2041949928e-02,8.3973105469e+03
155,1.5678898096e+00,2.7849988937e+00,4.2573470622e-02,8.3645683594e+03
156,1.5676651001e+00,2.7949988842e+00,3.9610590786e-02,8.5692558594e+03
157,1.5676654577e+00,2.7649986744e+00,4.6284876764e-02,8.2245839844e+03
158,1.5676658154e+00,2.7649986744e+00,4.1218794882e-02,8.5617275391e+03
159,1.5678161383e+00,2.7599985600e+00,4.2340636253e-02,8.4982880859e+03
160,1.5678164959e+00,2.7849986553e+00,4.7252211720e-02,8.4956943359e+03
161,1.5678418875e+00,2.7649986744e+00,3.9820004255e-02,8.5553486328e+03
162,1.5679671764e+00,2.7699985504e+00,4.4533021748e-02,8.5142529297e+03
163,1.5679926872e+00,2.7849986553e+00,4.2295157909e-02,8.5052529297e+03
164,1.5675679445e+00,2.7749986649e+00,4.5324042439e-02,8.5516464844e+03
165,1.5675183535e+00,2.7849986553e+00,4.1510902345e-02,8.6162558594e+03
166,1.5677436590e+00,2.7799985409e+00,4.8250753433e-02,8.4153007812e+03
167,1.5678440332e+00,2.7799985409e+00,3.7833675742e-02,8.7908417969e+03
168,1.5680192709e+00,2.7949986458e+00,4.5994408429e-02,8.4817480469e+03
169,1.5679447651e+00,2.7899985313e+00,4.4610306621e-02,8.6175517578e+03
170,1.5678950548e+00,2.7799985409e+00,4.3587319553e-02,8.6210400391e+03
171,1.5679204464e+00,2.8149986267e+00,4.5888189226e-02,8.5866972656e+03
172,1.5674709082e+00,2.8049988747e+00,4.4775459915e-02,8.6477529297e+03
173,1.5675460100e+00,2.7849986553e+00,4.5229248703e-02,8.6510566406e+03
174,1.5677965879e+00,2.7999987602e+00,4.3111670762e-02,8.7161875000e+03
175,1.5678467751e+00,2.8049986362e+00,4.3525397778e-02,8.6878027344e+03
176,1.5678220987e+00,2.8049986362e+00,4.6861518174e-02,8.5758681641e+03
177,1.5677976608e+00,2.8199985027e+00,4.8072166741e-02,8.5979472656e+03
178,1.5677729845e+00,2.8249986172e+00,4.6604439616e-02,8.8286357422e+03
179,1.5675734282e+00,2.8199985027e+00,4.6790573746e-02,8.6272812500e+03
180,1.5674986839e+00,2.8049988747e+00,4.6037189662e-02,8.7224541016e+03
181,1.5674740076e+00,2.8199985027e+00,4.6299763024e-02,8.8288359375e+03
182,1.5677745342e+00,2.8299984932e+00,4.5770790428e-02,8.6061601562e+03
183,1.5676498413e+00,2.8149986267e+00,4.6990428120e-02,8.8579228516e+03
184,1.5678502321e+00,2.8399984837e+00,4.4463660568e-02,8.7323105469e+03
185,1.5678255558e+00,2.8399987221e+00,4.7774322331e-02,8.7712275391e+03
186,1.5673259497e+00,2.8699986935e+00,4.3448559940e-02,8.8660673828e+03
