step,vx_150_50,vy_150_50,pressure_150_50,Cd,Cl,energy
131,3.0027890205e+00,-1.4878564980e-03,-2.2750209045e+02,1.5663501024e+00,-1.5865411609e-02,9.9449718750e+04
132,3.0021271706e+00,-1.8042696174e-03,-2.5826086426e+02,1.5613921881e+00,-1.5793338418e-02,9.9456390625e+04
133,3.0011658669e+00,-1.6652087215e-03,-2.7581414795e+02,1.5651375055e+00,-3.7303533405e-02,9.9462593750e+04
134,2.9999101162e+00,-2.1969804075e-03,-2.9000009155e+02,1.5469566584e+00,-1.8719024956e-02,9.9464867188e+04
135,2.9987621307e+00,-2.7119063307e-03,-2.8939865112e+02,1.5506162643e+00,4.7716097906e-03,9.9467781250e+04
136,2.9977617264e+00,-2.9694489203e-03,-2.8968518066e+02,1.5568447113e+00,-8.4657799453e-03,9.9469015625e+04
137,2.9966967106e+00,-2.9639613349e-03,-2.7715011597e+02,1.5525131226e+00,-2.0827433094e-02,9.9470414062e+04
138,2.9953997135e+00,-2.6392042637e-03,-2.6684539795e+02,1.5586992502e+00,-2.8540242463e-02,9.9474437500e+04
139,2.9941093922e+00,-1.6743813176e-03,-2.4696508789e+02,1.5421857834e+00,-1.1831190437e-02,9.9480945312e+04
140,2.9932868481e+00,-1.0872869752e-03,-2.2587359619e+02,1.5424662828e+00,-2.3438652977e-02,9.9487265625e+04
141,2.9926450253e+00,3.5365624353e-04,-2.0454772949e+02,1.5443536043e+00,-1.6887003556e-02,9.9495703125e+04
142,2.9918832779e+00,6.5668940078e-04,-1.8296710205e+02,1.5521620512e+00,1.2545437552e-02,9.9509320312e+04
143,2.9910647869e+00,6.5187481232e-04,-1.5843855286e+02,1.5273967981e+00,3.2972546760e-03,9.9531953125e+04
144,2.9897997379e+00,-1.7557403771e-04,-1.3184735107e+02,1.5344569683e+00,1.0156156495e-02,9.9555898438e+04
145,2.9899950027e+00,1.9498786423e-04,-9.6177909851e+01,1.5342226028e+00,2.0767211390e-04,9.9585367188e+04
146,2.9897665977e+00,-1.8589558022e-04,-6.6474296570e+01,1.5334345102e+00,2.4516262114e-02,9.9620710938e+04
147,2.9893033504e+00,-1.5241405927e-03,-3.9445682526e+01,1.5323318243e+00,2.4175822735e-02,9.9662445312e+04
148,2.9891154766e+00,-2.0466016140e-03,-4.6812629700e+00,1.5414563417e+00,3.7733544596e-03,9.9709648438e+04
149,2.9889469147e+00,-2.4188435636e-03,2.7623863220e+01,1.5054879189e+00,1.5329962596e-02,9.9760445312e+04
150,2.9896192551e+00,-2.3623078596e-03,6.3001796722e+01,1.5425318480e+00,1.9866876304e-02,9.9818656250e+04
151,2.9897866249e+00,-2.4554217234e-03,9.9060585022e+01,1.5214754343e+00,2.7123073116e-02,9.9881007812e+04
152,2.9899740219e+00,-2.3832092993e-03,1.3139392090e+02,1.5377843380e+00,3.5745035857e-02,9.9947992188e+04
153,2.9910516739e+00,-2.2598889191e-03,1.5979492188e+02,1.5186765194e+00,3.4805569798e-02,1.0001760156e+05
154,2.9916739464e+00,-2.3444218095e-03,1.8659062195e+02,1.5155541897e+00,2.9393671080e-02,1.0009420312e+05
155,2.9926929474e+00,-1.8363886047e-03,2.0890713501e+02,1.5155543089e+00,3.0659383163e-02,1.0017065625e+05
156,2.9939312935e+00,-1.6949009150e-03,2.2335772705e+02,1.5388792753e+00,2.6873983443e-02,1.0024821094e+05
157,2.9948194027e+00,-2.3910631426e-03,2.3662615967e+02,1.5064150095e+00,5.9243436903e-02,1.0033243750e+05
158,2.9960653782e+00,-2.9488892760e-03,2.4409426880e+02,1.5122395754e+00,6.5930478275e-02,1.0041777344e+05
159,2.9968824387e+00,-3.6269151606e-03,2.5214476013e+02,1.5080972910e+00,4.8469644040e-02,1.0050408594e+05
160,2.9976072311e+00,-3.6211067345e-03,2.5044053650e+02,1.5303528309e+00,5.3990885615e-02,1.0059012500e+05
161,2.9981825352e+00,-4.5667961240e-03,2.4488171387e+02,1.4849840403e+00,5.4428037256e-02,1.0067612500e+05
162,2.9986348152e+00,-4.1632717475e-03,2.4051000977e+02,1.5025762320e+00,5.3545575589e-02,1.0076223438e+05
163,2.9990952015e+00,-3.7766552996e-03,2.3145977783e+02,1.5001152754e+00,7.4949271977e-02,1.0084659375e+05
164,2.9996149540e+00,-2.8763758019e-03,2.2089051819e+02,1.5096722841e+00,6.9654405117e-02,1.0092822656e+05
165,3.0005557537e+00,-2.4166982621e-03,2.1728810120e+02,1.4984219074e+00,7.3981262743e-02,1.0100672656e+05
166,3.0009829998e+00,-1.3610241003e-03,1.8574456787e+02,1.4806784391e+00,5.7982519269e-02,1.0108197656e+05
167,3.0019338131e+00,-1.8310198793e-03,1.8824559021e+02,1.4906356335e+00,9.1247968376e-02,1.0115467969e+05
168,3.0031220913e+00,-2.1166296210e-03,1.5961804199e+02,1.5217374563e+00,8.6755000055e-02,1.0122205469e+05
169,3.0040819645e+00,-2.2726347670e-03,1.4184910583e+02,1.5068283081e+00,9.3190222979e-02,1.0128596875e+05
170,3.0037391186e+00,-3.1170824077e-03,1.0485520935e+02,1.4850237370e+00,7.7019214630e-02,1.0134670312e+05
171,3.0042092800e+00,-3.2080416568e-03,8.1137008667e+01,1.4872809649e+00,1.1003869772e-01,1.0140569531e+05
172,3.0040984154e+00,-3.5258221906e-03,4.9287509918e+01,1.4894251823e+00,1.1772637069e-01,1.0145386719e+05
173,3.0024302006e+00,-3.8426094688e-03,9.1849994659e+00,1.4669615030e+00,1.1919657141e-01,1.0149826562e+05
174,3.0019140244e+00,-3.8163922727e-03,-7.2182946205e+00,1.4737836123e+00,1.0810228437e-01,1.0153862500e+05
175,3.0026841164e+00,-4.3537928723e-03,-3.6947422028e+01,1.4866664410e+00,1.2310863286e-01,1.0157401562e+05
176,3.0017137527e+00,-4.2364420369e-03,-5.8964664459e+01,1.4746969938e+00,1.3126166165e-01,1.0160545312e+05
177,3.0005955696e+00,-4.7518997453e-03,-8.2591117859e+01,1.4695987701e+00,1.3753649592e-01,1.0163238281e+05
178,2.9988930225e+00,-6.0283876956e-03,-1.0402145386e+02,1.4577696323e+00,1.3476637006e-01,1.0165621875e+05
179,2.9989130497e+00,-4.3981005438e-03,-1.1933760834e+02,1.4664762020e+00,1.5064784884e-01,1.0167735156e+05
180,2.9967231750e+00,-5.4632597603e-03,-1.4069259644e+02,1.4686522484e+00,1.7844563723e-01,1.0169434375e+05
181,2.9946393967e+00,-5.3916252218e-03,-1.5769772339e+02,1.4594794512e+00,1.5711368620e-01,1.0170978906e+05
