step,vx_25_10,vy_25_10,Cd,Cl,singularity_count
90,3.8302293420e-01,-1.4634095132e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
91,3.8300725818e-01,-1.4633122087e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
92,3.8301801682e-01,-1.4633664489e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
93,3.8300296664e-01,-1.4632987976e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
94,3.8301309943e-01,-1.4633253217e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
95,3.8299974799e-01,-1.4632804692e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
96,3.8301071525e-01,-1.4633117616e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
97,3.8299471140e-01,-1.4632308483e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
98,3.8301107287e-01,-1.4633187652e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
99,3.8299030066e-01,-1.4631809294e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
100,3.8300925493e-01,-1.4633221924e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
101,3.8298878074e-01,-1.4631558955e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
102,3.8300564885e-01,-1.4632828534e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
103,3.8298848271e-01,-1.4631710947e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
104,3.8300076127e-01,-1.4632123709e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
105,3.8298639655e-01,-1.4631901681e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
106,3.8299718499e-01,-1.4631707966e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
107,3.8299226761e-01,-1.4631415904e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
108,3.8298848271e-01,-1.4631225169e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
109,3.8298568130e-01,-1.4631244540e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
110,3.8298273087e-01,-1.4631278813e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
111,3.8297960162e-01,-1.4631326497e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
112,3.8297265768e-01,-1.4631395042e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
113,3.8297483325e-01,-1.4630571008e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
114,3.8297176361e-01,-1.4630909264e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
115,3.8297036290e-01,-1.4630080760e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
116,3.8296532631e-01,-1.4630278945e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
117,3.8296499848e-01,-1.4630249143e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
118,3.8296401501e-01,-1.4629629254e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
119,3.8295781612e-01,-1.4630028605e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
120,3.8296180964e-01,-1.4629486203e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
121,3.8294881582e-01,-1.4629311860e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
122,3.8296365738e-01,-1.4629919827e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
123,3.8294237852e-01,-1.4628160000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
124,3.8296023011e-01,-1.4630247653e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
125,3.8293969631e-01,-1.4627660811e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
126,3.8295570016e-01,-1.4629976451e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
127,3.8293799758e-01,-1.4627854526e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
128,3.8295295835e-01,-1.4629051089e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
129,3.8293474913e-01,-1.4628228545e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
130,3.8294875622e-01,-1.4628320932e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
