step,vx_20_50,pressure_20_50,singularity_count
51,6.7906653881e-01,6.8262451172e+02,0.0000000000e+00
52,6.8036204576e-01,6.8968371582e+02,0.0000000000e+00
53,6.8178206682e-01,7.0112683105e+02,0.0000000000e+00
54,6.8257224560e-01,7.1711871338e+02,0.0000000000e+00
55,6.8316835165e-01,7.2331329346e+02,0.0000000000e+00
56,6.8304485083e-01,7.3119641113e+02,0.0000000000e+00
57,6.8281692266e-01,7.3265606689e+02,0.0000000000e+00
58,6.8285906315e-01,7.4317803955e+02,0.0000000000e+00
59,6.8287414312e-01,7.4980426025e+02,0.0000000000e+00
60,6.8251562119e-01,7.5687921143e+02,0.0000000000e+00
61,6.8168181181e-01,7.6769287109e+02,0.0000000000e+00
62,6.8113434315e-01,7.7342175293e+02,0.0000000000e+00
63,6.8134379387e-01,7.7520727539e+02,0.0000000000e+00
64,6.8157190084e-01,7.8254437256e+02,0.0000000000e+00
65,6.8102967739e-01,7.8380639648e+02,0.0000000000e+00
66,6.7954385281e-01,7.8334051514e+02,0.0000000000e+00
67,6.7868959904e-01,7.8902630615e+02,0.0000000000e+00
68,6.7809945345e-01,7.8899548340e+02,0.0000000000e+00
69,6.7799502611e-01,7.9548748779e+02,0.0000000000e+00
70,6.7823106050e-01,7.9260247803e+02,0.0000000000e+00
71,6.7757785320e-01,7.8855657959e+02,0.0000000000e+00
72,6.7663359642e-01,7.8965930176e+02,0.0000000000e+00
73,6.7625302076e-01,7.9313806152e+02,0.0000000000e+00
74,6.7543053627e-01,7.9951495361e+02,0.0000000000e+00
75,6.7443865538e-01,8.0230761719e+02,0.0000000000e+00
76,6.7477238178e-01,8.0525292969e+02,0.0000000000e+00
77,6.7461764812e-01,8.0541326904e+02,0.0000000000e+00
78,6.7461079359e-01,8.1035064697e+02,0.0000000000e+00
79,6.7457818985e-01,8.1716931152e+02,0.0000000000e+00
80,6.7396706343e-01,8.1897857666e+02,0.0000000000e+00
81,6.7315596342e-01,8.2353002930e+02,0.0000000000e+00
82,6.7238956690e-01,8.3271789551e+02,0.0000000000e+00
83,6.7159134150e-01,8.3506030273e+02,0.0000000000e+00
84,6.7076653242e-01,8.3696075439e+02,0.0000000000e+00
85,6.6995459795e-01,8.4020989990e+02,0.0000000000e+00
86,6.6973292828e-01,8.4746954346e+02,0.0000000000e+00
87,6.7059433460e-01,8.5185095215e+02,0.0000000000e+00
88,6.7118781805e-01,8.5872918701e+02,0.0000000000e+00
89,6.7170572281e-01,8.5603405762e+02,0.0000000000e+00
90,6.7161744833e-01,8.6264599609e+02,0.0000000000e+00
91,6.7125737667e-01,8.6467718506e+02,0.0000000000e+00
92,6.7099463940e-01,8.6644085693e+02,0.0000000000e+00
93,6.7121326923e-01,8.6752160645e+02,0.0000000000e+00
94,6.7108523846e-01,8.7161230469e+02,0.0000000000e+00
95,6.7058610916e-01,8.7509680176e+02,0.0000000000e+00
96,6.7073953152e-01,8.7701690674e+02,0.0000000000e+00
97,6.7102092505e-01,8.8043469238e+02,0.0000000000e+00
98,6.7123365402e-01,8.7472796631e+02,0.0000000000e+00
