step,vx_25_25,vy_25_25
203,4.9014464021e-01,-4.8764863610e-01
204,4.9003881216e-01,-4.8765507340e-01
205,4.8994565010e-01,-4.8765024543e-01
206,4.8980280757e-01,-4.8764681816e-01
207,4.8988151550e-01,-4.8750063777e-01
208,4.8974889517e-01,-4.8749539256e-01
209,4.8976540565e-01,-4.8736697435e-01
210,4.8954713345e-01,-4.8750102520e-01
211,4.8981139064e-01,-4.8709055781e-01
212,4.8970821500e-01,-4.8708888888e-01
213,4.8962429166e-01,-4.8706617951e-01
214,4.8942130804e-01,-4.8717424273e-01
215,4.8950862885e-01,-4.8700070381e-01
216,4.8932725191e-01,-4.8706129193e-01
217,4.8932212591e-01,-4.8695391417e-01
218,4.8939380050e-01,-4.8677891493e-01
219,4.8905265331e-01,-4.8698905110e-01
220,4.8936229944e-01,-4.8658457398e-01
221,4.8915046453e-01,-4.8669433594e-01
222,4.8911964893e-01,-4.8660007119e-01
223,4.8897987604e-01,-4.8665031791e-01
224,4.8914518952e-01,-4.8634880781e-01
225,4.8880147934e-01,-4.8660546541e-01
226,4.8881578445e-01,-4.8647579551e-01
227,4.8877954483e-01,-4.8641243577e-01
228,4.8879808187e-01,-4.8628968000e-01
229,4.8878860474e-01,-4.8618593812e-01
230,4.8870414495e-01,-4.8613777757e-01
231,4.8870804906e-01,-4.8603671789e-01
232,4.8859360814e-01,-4.8603901267e-01
233,4.8868411779e-01,-4.8585590720e-01
234,4.8840954900e-01,-4.8600909114e-01
235,4.8845922947e-01,-4.8587253690e-01
236,4.8836687207e-01,-4.8585301638e-01
237,4.8849037290e-01,-4.8562574387e-01
238,4.8828530312e-01,-4.8571044207e-01
239,4.8840206861e-01,-4.8548808694e-01
240,4.8825785518e-01,-4.8552241921e-01
241,4.8825740814e-01,-4.8542284966e-01
242,4.8811402917e-01,-4.8543804884e-01
243,4.8814830184e-01,-4.8532325029e-01
244,4.8806241155e-01,-4.8529151082e-01
245,4.8815488815e-01,-4.8509693146e-01
246,4.8789918423e-01,-4.8522874713e-01
247,4.8809593916e-01,-4.8493924737e-01
248,4.8788458109e-01,-4.8503756523e-01
249,4.8794642091e-01,-4.8488003016e-01
250,4.8790863156e-01,-4.8478499055e-01
251,4.8792153597e-01,-4.8469835520e-01
252,4.8766994476e-01,-4.8485293984e-01
253,4.8782891035e-01,-4.8459407687e-01
254,4.8769021034e-01,-4.8458912969e-01
255,4.8768165708e-01,-4.8451521993e-01
256,4.8763242364e-01,-4.8444411159e-01
257,4.8744767904e-01,-4.8451897502e-01
258,4.8769530654e-01,-4.8414897919e-01
259,4.8730027676e-01,-4.8444870114e-01
260,4.8756235838e-01,-4.8406499624e-01
261,4.8747104406e-01,-4.8404797912e-01
262,4.8743903637e-01,-4.8398929834e-01
263,4.8740816116e-01,-4.8392716050e-01
264,4.8717617989e-01,-4.8401898146e-01
265,4.8727628589e-01,-4.8381000757e-01
266,4.8714292049e-01,-4.8384574056e-01
267,4.8722535372e-01,-4.8364365101e-01
268,4.8693865538e-01,-4.8385015130e-01
269,4.8691967130e-01,-4.8375508189e-01
270,4.8695012927e-01,-4.8360109329e-01
271,4.8701575398e-01,-4.8343202472e-01
272,4.8693421483e-01,-4.8339417577e-01
273,4.8688846827e-01,-4.8331761360e-01
274,4.8681646585e-01,-4.8332464695e-01
275,4.8688489199e-01,-4.8310542107e-01
276,4.8663595319e-01,-4.8326015472e-01
277,4.8685777187e-01,-4.8292925954e-01
278,4.8659613729e-01,-4.8308798671e-01
279,4.8670136929e-01,-4.8287349939e-01
280,4.8654082417e-01,-4.8292502761e-01
281,4.8671147227e-01,-4.8263984919e-01
282,4.8658198118e-01,-4.8265251517e-01
283,4.8662054539e-01,-4.8252418637e-01
